,Title,Summary,Director,Writer,Main Genres,Release Year,Runtime (Minutes),Rating (Out of 10),metadata
0,napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",Ridley Scott,David Scarpa,"Action,Adventure,Biography",2023.0,158.0,6.7,epic detail checkered rise fall french emperor napoleon bonaparte relentless journey power prism addictive volatile relationship wife josephine david scarpa ridley scott action adventure biography
1,the hunger games: the ballad of songbirds & snakes,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Francis Lawrence,"Michael Lesslie,Michael Arndt,Suzanne Collins","Action,Adventure,Drama",2023.0,157.0,7.2,coriolanus snow mentor develops feeling female district tribute th hunger game michael lesslie michael arndt suzanne collins francis lawrence action adventure drama
2,the killer,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.",David Fincher,"Andrew Kevin Walker,Luc Jacamon,Alexis Nolent","Action,Adventure,Crime",2023.0,118.0,6.8,fateful near miss assassin battle employer international manhunt insists personal andrew kevin walker luc jacamon alexis nolent david fincher action adventure crime
3,leo,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.,"David Wachtenheim,Robert Smigel,Robert Marianetti","Paul Sado,Robert Smigel,Adam Sandler","Animation,Comedy,Family",2023.0,102.0,7.0,year old lizard named leo turtle friend decide escape terrarium florida school classroom living decade paul sado robert smigel adam sandler david wachtenheim robert smigel robert marianetti animation comedy family
4,thanksgiving,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",Eli Roth,"Eli Roth,Jeff Rendell","Horror,Mystery,Thriller",2023.0,106.0,7.0,black friday riot end tragedy mysterious thanksgiving inspired killer terrorizes plymouth massachusetts birthplace infamous holiday eli roth jeff rendell eli roth horror mystery thriller
5,oppenheimer,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Christopher Nolan,"Martin Sherwin,Christopher Nolan,Kai Bird","Biography,Drama,History",2023.0,3.0,8.5,story american scientist j robert oppenheimer role development atomic bomb martin sherwin christopher nolan kai bird christopher nolan biography drama history
6,saltburn,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",Emerald Fennell,Emerald Fennell,"Comedy,Drama,Thriller",2023.0,131.0,7.5,student oxford university find drawn world charming aristocratic classmate invite eccentric family sprawling estate summer never forgotten emerald fennell emerald fennell comedy drama thriller
7,the marvels,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",Nia DaCosta,"Elissa Karasik,Nia DaCosta,Megan McDonnell","Action,Adventure,Fantasy",2023.0,105.0,6.0,carol danvers get power entangled kamala khan monica rambeau forcing work together save universe elissa karasik nia dacosta megan mcdonnell nia dacosta action adventure fantasy
8,wish,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,"Fawn Veerasunthorn,Chris Buck","Jennifer Lee,Chris Buck,Allison Moore","Animation,Adventure,Comedy",2023.0,95.0,5.9,young girl named asha wish star get direct answer bargained trouble making star come sky join jennifer lee chris buck allison moore fawn veerasunthorn chris buck animation adventure comedy
9,the creator,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",Gareth Edwards,"Chris Weitz,Gareth Edwards","Action,Adventure,Drama",2023.0,133.0,6.9,backdrop war human robot artificial intelligence former soldier find secret weapon robot form young child chris weitz gareth edward gareth edward action adventure drama
